GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD02,"Estimate; Total: - U.S. citizen, born in the United States"
HD01_VD03,"Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas"
HD01_VD04,"Estimate; Total: - U.S. citizen, born abroad of American parent(s)"
HD01_VD05,Estimate; Total: - U.S. citizen by naturalization
HD01_VD06,Estimate; Total: - Not a U.S. citizen
